Designator,Mid X,Mid Y,Rotation,Layer
C1,4.4,4.3,90.0,top
C18,-4.5,6.6,180.0,top
C2,-4.5,5.5,180.0,top
C3,-4.5,4.5,180.0,top
C4,4.3,-4.4,0.0,top
J1,-1e-06,-20.199999,90.0,top
J3,-1e-06,-16.399999,90.0,top
J4,-0.005,13.1,90.0,top
Q5,-3.5,-12.399999,270.0,top
Q6,0.0,-12.4,270.0,top
Q7,3.5,-12.539999,270.0,top
R10,-3.5,-9.399999,0.0,top
R11,0.0,-7.399999,0.0,top
R12,0.0,-9.4,0.0,top
R13,3.5,-7.399999,0.0,top
R14,3.5,-9.399999,0.0,top
R9,-3.5,-7.399998,0.0,top
U1,0.0,0.0,270.0,top
U2,-4.1,11.0,90.0,top
